cluster_id,cougar_id,type,collar_serial,n_points,radius,duration_h,form_date,inv_date,personnel,habitat,habitat2,canopy,carcass_found,species,how_id,sex,how_sex,age,how_age,est_age,cached,n_prey,n_piles,condition,parts,bite_wounds,hemorrhaging,fed_on,per_rem,feeding_use,marrow,drag_trail,length,kill_site,evidence_kill_site,consistent_date,confidence_cougar_kill,other_sign,scavenged,scavenged_by,kill_2,species,cached,notes,cache_photo,carcass_photo,bite_photo,hem_photo,drag_photo,kill_photo,coug_sign_photo,scav_sign_photo
SF1_3.1,SF01,current,44748,3,62,6,5/7/2021,6/20/2021,MP,deciduous,drainage,open,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No evidence of a kill or feeding,,,,,,,,
SM6_C03,SM06,current,44747,8,32,21,5/8/2021,5/11/2021,MP,drainage,,closed,Y,pig,head,UNK,,neonate,teeth,2-6 mo,none,1,1,dispersed,head and 1 lower leg,Not vis,Not vis,Y,<25,all consumed,no long bones,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SF1_C04,SF01,current,44748,13,89,90,5/9/2021,5/10/2021,MP,wetland,,closed,Y,deer,body,F,head,adult,teeth,6+,currently,1,1,intact,all,Y,Y,Y,>75,body cavity,,N,,N,,Y,positive,None,N,,N,,,check marrow when pull camera,Y,Y,Y,Y,N,N,N,N
SF9_C06,SF09,current,44744,21,174,75,5/10/2021,5/11/2021,MP,chaparral,,closed,Y,deer,head,F,head,adult,teeth,6+,currently,1,2,intact,"all in 1, second cache had scat",Y,Y,Y,50-75,body cavity opend and back haunch eaten,white waxy,Y,20,Y,broken branches and ground disturbed,Y,positive,None,N,,N,,,set camera,Y,Y,Y,Y,Y,Y,Y,N
SF1_C05,SF01,current,44748,6,39,15,5/13/2021,5/15/2021,MP,deciduous,drainage,closed,N,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,found disturbed ground near core cluster  but found no carcass or evidence of a kill,N,N,N,N,N,N,N,N
SF10_C01,SF10,current,44751,10,26,30,5/14/2021,5/15/2021,MP,chaparral,,medium,Y,deer,head,UNK,,neonate,teeth,,none,1,1,dismantled,"head, 3 legs, and some skin and fur",Not vis,Not vis,Y,<25,all consumed,pink/red soft,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SF9_C07,SF09,current,44744,4,67,9,5/14/2021,5/16/2021,MP,coniferous,,medium,Y,deer,hooves,UNK,,neonate,teeth,,none,1,3,dispersed,2 legs in separate locations and two lower jaw bones in third location,Not vis,Not vis,Y,<25,all consumed,pink/red soft,N,,N,,Y,positive,None,N,,N,,,found cougar scat near remaisn,N,Y,N,N,N,N,Y,N
SM6_C04,SM06,current,44747,5,82,39,5/14/2021,5/19/2021,MP,con/dec,,open,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Also searched this area when three points in the early morning of 5/14 formed an early cluster and did not find anything then either.,N,N,N,N,N,N,N,N
SF10_C02,SF10,current,44751,10,162,27,5/16/2021,5/17/2021,MP,chaparral,oak scrub,closed,N,,,,,,,,,,2,,"two separate scats, one cached, one not",,,,,,,,,,,,,,,,,,,found 2 scats but no carcass,N,N,N,N,N,N,y,N
SF1_D01,SF01,day,44748,4,68,9,5/16/2021,5/20/2021,MP,chaparral,,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Simultaneous day time cluster of both animals, investigated to see if requiring night time location is reasonable. Found 1 scat but nothing else",N,N,N,N,N,N,Y,N
SM6_D02,SM06,day,44747,4,68,9,5/16/2021,5/20/2021,MP,chaparral,,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Simultaneous day time cluster of both animals, investigated to see if requiring night time location is reasonable. Found 1 scat but nothing else",N,N,N,N,N,N,Y,N
SF9_C3.2,SF09,current,44744,3,23,6,5/16/2021,6/9/2021,MP,deciduous,,closed,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
SM6_C3.2,SM06,current,44747,3,58,6,5/16/2021,6/9/2021,MP,deciduous,,closed,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
SF10_C03,SF10,current,44751,11,27,42,5/17/2021,5/18/2021,MP,chaparral,oak scrub,closed,Y,deer,head,UNK,,neonate,teeth,,none,1,1,intact,all,Y,back of neck,Y,25-50,body cavity consumed,red gelatinous,N,,N,,Y,positive,None,N,,N,,,"Flushed cougar from kill, SF1 was also in area and may have used carcass",Y,Y,Y,Y,N,N,N,N
SF1_D02,SF01,day,44748,3,38,6,5/17/2021,5/23/2021,MP,chaparral,drainage,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
SF9_D01,SF09,day,44744,4,79,9,5/17/2021,5/24/2021,MP,chaparral,,closed,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
SF9_C08,SF09,current,44744,6,132,15,5/18/2021,5/19/2021,MP,wetland,,medium,Y,deer,hair,UNK,,neonate,teeth,,none,2,4,dismantled,"1) jaw and bone fragments, 2) hair, 3) whole fawn, 4) 3 legs",Not vis,Not vis,Y,<25,completely consumed,red gelatinous,Y,100,N,,Y,positive,Vultures present,Y,vulture,N,,N,"Found second fawn unconsumed in open within ~50m of first remains. Possible me arriving in area around 8am pushed them off the site. Second fawn had bite to top of head and fractured skull. Red gelatinous marrow. Collected hair from both. Second fawn appeared to be male. Second fawn at 35.93487, 121.27909. Found three fawn legs in another pile at 35.93660, 121.27908, likely belonged to fragments found at ""main carcass."" Best guess, kill occurred at legs, 2nd fawn was drug from legs to fragments to final destination based on direction of drag. ",Y,Y,N,N,Y,N,N,N
SM6_C05,SM06,current,44747,14,95,39,5/18/2021,5/19/2021,MP,drainage,,closed,Y,pig,head,M,tagged,fawn,tagged,6-12 mo,currently,1,2,intact,"1 with organ, 1 with everything else",Y,top of head,Y,50-75,body cavity opened and consumed,,N,,N,,Y,positive,None,N,,N,,,Found while monitoring tagged pigs. Data from GPS collar came later. Set camera,Y,Y,Y,Y,N,N,N,N
SF9_C09,SF09,current,44744,15,95,51,5/19/2021,5/21/2021,MP,drainage,,closed,Y,deer,head,F,head,adult,teeth,6+,currently,1,2,intact,"fawn remains in one cache, adult in second",Y,throat,Y,50-75,body cavity opened and consumed,white waxy,N,,N,,Y,positive,None,N,,Y,deer_neonate,Y,"doe and fawn cached within 5m of each other, set camera",Y,Y,Y,Y,N,N,N,N
SF9_C10,SF09,current,44744,7,58,21,5/22/2021,5/23/2021,MP,chaparral,,medium,Y,deer,hair,UNK,,neonate,teeth,,none,1,1,dismantled,"4 legs, lower jaw",Not vis,Not vis,Y,<25,all consumed,red gelatinous,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,Y,N
SF1_C06,SF01,current,44748,5,94,12,5/22/2021,5/23/2021,MP,chaparral,coniferous,medium,Y,deer,hair,UNK,,neonate,teeth,,none,1,1,dismantled,"4 legs, lower jaw",Not vis,Not vis,Y,<25,all consumed,red gelatinous,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SF1_C07,SF01,current,44748,4,61,12,5/23/2021,5/24/2021,MP,chaparral,drainage,closed,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
SF9_3.3,SF09,current,44744,3,87,6,5/23/2021,6/18/2021,MP,chaparral,drainage,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I shortened the searh time because the cluster was not tight and it was hotttttt,N,N,N,N,N,N,N,N
SF1_C08,SF01,current,44748,7,151,18,5/24/2021,5/27/2021,MP,deciduous,drainage,medium,Y,deer,head,UNK,,neonate,teeth,,none,1,2,intact,"carcass in one, scat in second",Y,throat,Y,<25,all consumed but head and legs,red gelatinous,N,,N,,Y,positive,Bird feces,Y,birds,N,,,,Y,Y,Y,Y,N,N,Y,Y
SF9_3.4,SF09,current,44744,3,46,6,5/25/2021,6/20/2021,MP,con/dec,,medium,Y,UNK,,UNK,,UNK,,,none,1,2,dispersed,"tufts of hair, cougar scats",Not vis,Not vis,Y,<25,no carcass remaining,no long bones,N,,N,,Y,UNK,None,N,,N,,,"Only found two tufts of fur. Could be from deer fawn, but uncertain. Will look at under scope.",N,Y,N,N,N,N,Y,N
SF1_C09,SF01,current,44748,6,46,18,5/26/2021,5/30/2021,MP,deciduous,drainage,closed,Y,deer,hooves,UNK,,neonate,hooves,,currently,1,1,dispersed,1 leg and hair,Not vis,Not vis,Y,<25,all consumed,,N,,N,,Y,positive,None,N,,N,,,"Searched for 1 hour on 5/26, returned on 5/30 and found.",Y,Y,N,N,N,N,N,N
SF9_C12,SF09,current,44744,15,201,45,5/26/2021,5/29/2021,MP,chaparral,,closed,Y,deer,hair,UNK,,fawn,teeth,,none,1,2,dismantled,"1 with 3 legs, jaw, and rumen. 1 leg drug away",Not vis,Not vis,Y,<25,all consumed,red gelatinous,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,Y,N
SF9_C11,SF09,current,44744,7,90,66,5/26/2021,5/29/2021,MP,chaparral,deciduous,closed,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Found 4 uncached scats. 5/26 location (first of cluster) was not really a part of the cluster.,N,N,N,N,N,N,Y,N
SF1_C10,SF01,current,44748,5,76,12,5/27/2021,5/30/2021,MP,deciduous,drainage,closed,Y,deer,hair,UNK,,neonate,teeth,,currently,1,1,intact,"legs, hide, and lower jaw",Not vis,Not vis,Y,<25,all consumed,pink hard,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,Y,N
SM6_C06,SM06,current,44747,12,51,54,5/28/2021,6/2/2021,MP,deciduous,wetland,closed,Y,deer,head,F,head,adult,teeth,2,none,1,1,intact,whole carcass,Y,back of neck,Y,<25,mostly fed,red soft,N,,N,,Y,positive,Bird feces,Y,birds,N,,,,Y,Y,Y,Y,N,N,Y,Y
SF1_3.4,SF01,current,44748,3,82,6,5/28/2021,6/18/2021,MP,drainage,deciduous,closed,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Found two old scats away from points, 1 too old, but the other may have been from the cluster time",N,N,N,N,N,N,Y,N
SF1_3.5,SF01,current,44748,3,7,6,5/29/2021,6/17/2021,MP,con/dec,,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Also searched for about 1hr on 5/31.,N,N,N,N,N,N,N,N
SF1_C11,SF01,current,44748,6,36,27,5/30/2021,6/1/2021,MP,deciduous,,closed,Y,deer,head,UNK,,neonate,teeth,,currently,1,1,dismantled,4 legs and rostrum,Not vis,Not vis,Y,<25,all consumed,red soft,N,,N,,Y,positive,None,N,,,,,,Y,Y,N,N,N,N,N,N
SF1_D03,SF01,day,44748,4,84,9,5/30/2021,5/31/2021,MP,deciduous,chaparral,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
SF9_C13,SF09,current,44744,4,37,9,5/30/2021,6/1/2021,MP,con/dec,,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searched limited by poison oak,N,N,N,N,N,N,N,N
SF9_C14,SF09,current,44744,4,32,9,5/31/2021,6/3/2021,MP,deciduous,chaparral,medium,Y,deer,hooves,UNK,,neonate,teeth,,none,1,1,dispersed,"3 legs, lower jaw, and hair scattered within ~10m",Not vis,Not vis,Y,<25,completely consumed,red soft,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SF1_C12,SF01,current,44748,4,47,9,6/1/2021,6/5/2021,MP,deciduous,,closed,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Found possible scrape,N,N,N,N,N,N,N,N
SF9_C3.5,SF09,current,44744,3,51,6,6/2/2021,6/8/2021,MP,riparian,,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,Y,N
SF9_C15,SF09,current,44744,4,59,33,6/3/2021,6/7/2021,MP,drainage,,open,Y,deer,hooves,UNK,,neonate,teeth,,none,1,3,dispersed,"two legs, lower jaw bones, fur",Not vis,Not vis,Y,<25,completely consumed,pink hard,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SF9_C3.6,SF09,current,44744,3,50,6,6/4/2021,6/8/2021,MP,deciduous,,closed,Y,deer,hooves,UNK,,neonate,hooves,,currently,1,1,dismantled,4 legs and bone fragments,Not vis,Not vis,Y,<25,completely consumed,red soft,Y,5,Y,disturbed ground and hair along game trail,Y,positive,None,N,,N,,,,Y,Y,N,N,N,Y,N,N
SM6_C07,SM06,current,44747,7,57,18,6/4/2021,6/8/2021,MP,deciduous,drainage,closed,Y,pig,hair,UNK,,UNK,,,none,1,1,dispersed,chunks of hair,Not vis,Not vis,Y,<25,only found hair,,N,,N,,Y,probable,Scat,Y,"fox, pig",Y,Kangaroo rat,N,"Only found hair, no carcass. Hair was cleanly cut indicative of cougar shearing. Found a dead kangaroo rat near center of cluster that may or may not have been related.",N,Y,N,N,N,N,N,N
SF9_C16,SF09,current,44744,10,183,54,6/5/2021,6/7/2021,MP,oak sav,,open,Y,deer,head,M,head,adult,teeth,3,currently,1,1,intact,whole carcass,Y,throat,Y,50-75,"Body cavity opened and consumed, extremities remain",white waxy,N,,Y,disturbed ground,Y,positive,"Vultures, golden eagle, and coyote present when arrived",Y,"birds, coyote",N,,,"Vultures gathered around carcass, coyote was on top of hill. Lack of drag trail and disturbed ground at carcass indicates may also be kill site. Set camera, but something that was not picked up by the camera drug the carcass about 80m away on the first night of camera operation.",Y,Y,Y,Y,N,Y,N,Y
SF1_C13,SF01,current,44748,7,24,18,6/5/2021,6/6/2021,MP,con/dec,drainage,medium,Y,deer,head,UNK,,neonate,teeth,,currently,1,1,intact,carcass and rumen,Not vis,Rostrum,Y,<25,all consumed except head and 1 leg,red gelatinous,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,Y,N,N,N,N
SF1_C14,SF01,current,44748,14,130,39,6/6/2021,6/7/2021,MP,deciduous,,closed,Y,deer,head,UNK,,neonate,teeth,,currently,1,1,intact,whole carcass,Not vis,Not vis,Y,25-50,"Body cavity opened and consumed, extremities remain",red soft,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SF9_C17,SF09,current,44744,3,82,6,6/8/2021,6/15/2021,MP,chaparral,,closed,Y,mallard/wood duck,feathers,UNK,,adult,feathers,,none,1,1,dispersed,large concentration of feathers,Not vis,Not vis,Y,<25,completely consumed,NA,N,,N,,Y,probable,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SM6_C09,SM06,current,44747,3,26,6,6/10/2021,6/15/2021,MP,con/dec,chaparral,closed,Y,band tailed pigeon,feathers,UNK,,adult,feathers,,none,1,2,dispersed,found two piles of feathers at core of cluster,Not vis,Not vis,Y,<25,completely consumed,NA,N,,N,,Y,probable,Coopers hawn present,N,,N,,,BIPI seems like unlikely prey for cougar. Presence of COHA alarm calling seems like more likely predator. But one group of feathers right at cougar location,N,Y,N,N,N,N,N,N
SM6_C08,SM06,current,44747,4,45,94,6/10/2021,6/15/2021,MP,chaparral,,closed,Y,deer,hair,UNK,,neonate,teeth,,currently,1,1,dispersed,found hair and jaw fragments,Not vis,Not vis,Y,<25,completely consumed,no long bones,N,,N,,Y,positive,None,N,,N,,,Found depressions I duff consistent with size of cougar prints,Y,Y,N,N,N,N,N,N
SF1_C15,SF01,current,44748,4,10,24,6/11/2021,6/15/2021,MP,oak,,medium,Y,deer,hair,UNK,,neonate,teeth,,currently,1,1,dispersed,found hair and jaw fragments,Not vis,Not vis,Y,<25,completely consumed,no long bones,N,,N,,Y,positive,None,N,,N,,,Neatly sheared hair and caching suggests cougar kill,Y,Y,N,N,N,N,N,N
SF9_C18,SF09,current,44744,4,49,24,6/13/2021,6/15/2021,MP,con/dec,drainage,medium,Y,deer,head,F,head,adult,teeth,4,none,1,3,dismantled,"carcass in one pile, 1 leg and lower jaw in second, rumen contents in thrids",Y,back of neck,Y,<25,completely consumed,red gelatinous,Y,20,N,,N,Scavenge,feathers and scat,Y,vultures,N,,,"Hemorrhaging and drag suggest kill, but carcass seems to be about 1 week old, not 48 hrs. I suspect the deer was killed by an uncollared cougar and then scavenged by SF9",Y,Y,Y,Y,Y,N,N,Y
SF1_C16,SF01,current,44748,16,78,136,6/13/2021,6/17/2021,MP,chaparral,,medium,Y,deer,head,UNK,,neonate,teeth,,currently,2,4,intact,"two fawns about 15m apart, one cached scat, one cached rumen",Y,back of neck,Y,25-50,"body cavities consumed on both, legs remained",red gelatinous,Y,100,N,,Y,positive,None,N,,N,,,"Found two fawns. The first was well cached, the second looked like it was in the middle of being drug. Both fawns had been fed on with body cavities opened and consumed but substantial portion of meat on legs remaining. Both consistent with cluster date. However, the drag trail consisted of many tufts of coarse, crinkly hair that appeared to be from an adult ungulate. I was able to follow the trail in a looping fashion for ~100m before I ran out of hair. The hair appeared to end at the cached fawn. There was also the skeleton of an old kill that was at least a few months old (Completely picked over, no fresh meat remaining, bone marrow was dry and withered). Came back and set camera on uncached fawn at 1030. Possible mom was running away with hair snagging on branches as ran",Y,Y,Y,Y,Y,N,Y,N
SF9_C19,SF09,current,44744,5,38,15,6/15/2021,6/20/2021,MP,deciduous,,medium,Y,deer,hair,UNK,,neonate,teeth,,none,1,1,dismantled,"four legs, fur, and bone fragments",Not vis,Not vis,Y,<25,completely consumed,red hard*,N,,N,,Y,positive,Feathers,Y,birds,N,,,"Bone marrow was dried out, possible was red and gelatinous but desicated. Found single feather that may have been from vulture.",N,Y,N,N,N,N,N,Y
SF9_C20,SF09,current,44744,4,53,27,6/16/2021,6/19/2021,MP,oak sav,,open,Y,deer,head,F,head,fawn,teeth,,none,1,1,intact,whole carcass,N,back of neck,Y,<25,"body cavity opened, haunches eaten",red gelatinous,N,,N,,Y,probable,scat and feathers,Y,birds,N,,,"Seems somewhat older than 48 hours, but that may be due to 100+ degree temperatures and exposed location. Hemorrahaging and feeding consistent with cougar. Only two molars and third premolar still tricuspid",Y,Y,N,Y,N,N,N,Y
SM6_C10,SM06,current,44747,3,42,24,6/17/2021,6/20/2021,MP,oak,drainage,closed,Y,pig,head,UNK,,neonate,teeth,5-7 mo,currenlty,1,1,intact,"head, hide, lower legs, stomach and GI tract",Y,top of head,Y,<25,only lower leg bones and head remain,no long bones,N,,N,,Y,positive,None,N,,N,,,In bottom of drainage partially buried by leaves,Y,Y,N,Y,N,N,N,N
SF1_C17,SF01,current,44748,3,24,6,6/17/2021,6/23/2021,MP JK,burned chap,,open,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No sign,N,N,N,N,N,N,N,N
SF9_C21,SF09,current,44744,6,88,15,6/20/2021,6/23/2021,MP JK,riparian,,closed,Y,deer,head,M,antlers,fawn,teeth,,previously,1,2,dismantled,"legs, hide, and ribs in one. Hair and old cache site and guts in between",Not vis,Not vis,Y,<25,"completely consumed, body camvity opened, bones gnawed, ribs gnawed",red gelatinous,Y,10,Y,"hair, disturbed ground, drag trail",Y,positive,Feathers and tracks,Y,"birds, possibly pigs",N,,,"Probably killed by the creek, drug under brush, scavengers or cougars drug out to continue feeding.",Y,Y,N,N,Y,Y,N,Y
SF9_C22,SF09,current,44744,3,34,9,6/22/2021,6/24/2021,MP JK,con/dec,,closed,Y,deer,hair,UNK,,neonate,teeth,,none,1,1,dismantled,"gut contents, hair, bone fragments, jaw",Not vis,Not vis,Y,<25,completely consumed,red soft,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SF1_C18,SF01,current,44748,13,111,36,6/22/2021,6/27/2021,MP JK,riparian,,closed,Y,deer,hair,UNK,,neonate,teeth,,currently,1,1,dispersed,"2 legs, jaw, and hair",Not vis,Not vis,Y,<25,completely consumed,red gelatinous,N,,N,,Y,positive,None,N,,N,,,Searched for 1 hour on 6/24. Returned on 6/17 and found kill,Y,Y,N,N,N,N,Y,N
SM6_C11,SM06,current,44747,6,92,15,6/23/2021,7/1/2021,MP,con/dec,,medium,Y,deer,hair,UNK,,neonate,teeth,,currently,1,2,dispersed,"tufts of fur in cache pile, hide and bone fragments in second pile",Not vis,Not vis,Y,<25,completely consumed,no long bones,N,,N,,Y,positive,None,N,,N,,,,Y,Y,N,N,N,N,N,N
SF9_C23,SF09,current,44744,3,53,6,6/24/2021,6/25/2021,MP,chaparral,,closed,Y,coyote,hair and teeth,UNK,,neonate,teeth,,none,1,2,dispersed,"just fur in one pile, fur, jaw, and bone fragments in second.",Not vis,Not vis,Y,<25,completely consumed,no long bones,N,,N,,Y,probably,scat,Likely,coyotes,N,,,"Found coyote scats at carcass, but may have just been coyote parents checking site after cougars left.",Y,Y,N,N,N,N,Y,Y
SM6_C12,SM06,current,44747,4,116,12,6/26/2021,6/28/2021,MP,riparian,,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No evidence of a kill or feeding,N,N,N,N,N,N,N,N
SF1_C19,SF01,current,44748,5,110,12,6/27/2021,7/3/2021,MP,deciduous,chaparral,medium,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No evidence of a kill or feeding. Challenging area to search due to terrain and vegetation.,N,N,N,N,N,N,N,N
